video_id,channel_id,video_title,channel_title,category_name,live_upcoming_none,view_count,like_count,dislike_count,comment_count,published_at,tags,duration,definition,caption,thumbnail,url
d1eEWihvwpQ,UCXIJgqnII2ZOINSWNOGFThA,who declares coronavirus outbreak a pandemic,Fox News,News & Politics,none,456817,3624,0,1941,2020-03-11T16:50:56Z,"fox news alert,breaking news,fox,news,fox news channel,corona,corona virus,virus,coronavirus,pandemic,WHO,world health,world health organization,breaking,health,coronavirus pandemic,covid,covid 19,covid19,coronavirus news",PT51S,hd,True,https://i.ytimg.com/vi/d1eEWihvwpQ/default.jpg,https://www.youtube.com/watch?v=d1eEWihvwpQ
lydWQoqDNp8,UCXIJgqnII2ZOINSWNOGFThA,tucker coronavirus pandemic is a real fear,Fox News,News & Politics,none,459259,9080,0,2284,2020-02-25T02:20:00Z,"health,coronavirus,china,wuhan china,novel coronavirus,tucker carlson,tucker carlson monologue,carlson,carlson monologue,tucker,tucker monologue,tucker carlson corona virus,tucker carlson tonight,china us relationship,spread of coronavirus,fnc,fox news,fox news channel,fox news media,fox news network,wuhan virus,tucker carlson virus,coronavirus economy,economic impact of coronavirus,US dependent on china,Tucker Carlson US economy,Fox News Tucker Carlson",PT2M48S,hd,True,https://i.ytimg.com/vi/lydWQoqDNp8/default.jpg,https://www.youtube.com/watch?v=lydWQoqDNp8
u9tLP9y6mPQ,UCXIJgqnII2ZOINSWNOGFThA,small business saturday is more important than ever amid coronavirus pandemic,Fox News,News & Politics,none,28066,511,0,245,2020-11-27T16:50:33Z,"Fox News Channel,Fox News,News,health,personality,Fox News live,FNC,America's Newsroom,Cheryl Casone,Julie Banderas,small businesses,Small Business Saturday,holiday shopping,shoppers,supporting small businesses,Americans spending billions of dollars on Small Business Saturday,ppp loans,coronavirus,coronavirus pandemic,jobs,employment,COVID-19,COVID-19 pandemic,pandemic,retailers,safety measures,capacity,shopping,vaccines,coronavirus vaccines,private sector",PT3M54S,hd,True,https://i.ytimg.com/vi/u9tLP9y6mPQ/default.jpg,https://www.youtube.com/watch?v=u9tLP9y6mPQ
lp2czs3U8Qk,UCXIJgqnII2ZOINSWNOGFThA,missouri becomes first state to sue china over coronavirus pandemic,Fox News,News & Politics,none,450363,8780,0,4713,2020-04-22T04:15:00Z,"Missouri,Missouri sues China,Missouri Attorney General,Missouri Attorney General sues china,Eric Schmitt,china hoards PPE,missouri sues china,missouri suing china,missouri lawsuit china,missouri sue china,missouri lawsuit against china,covid 19,tucker carlson missouri,tucker carlson eric schmitt,eric schmitt china,fnc,fox news,fox news channel,fox news media,fox news network,tucker,tucker carlson,tucker carlson tonight,tucker tonight,coronavirus,pandemic",PT2M50S,hd,True,https://i.ytimg.com/vi/lp2czs3U8Qk/default.jpg,https://www.youtube.com/watch?v=lp2czs3U8Qk
ACLU0OxWisE,UCXIJgqnII2ZOINSWNOGFThA,ingraham coronavirus pandemic spreads through us,Fox News,News & Politics,none,381439,6996,0,2885,2020-03-13T04:00:05Z,"Coronavirus,covid-19,coronavirus outbreak,coronavirus fears,pandemic,coronavirus pandemic,united states coronavirus,coronavirus response,media coronavirus,CNN coronavirus corovergae,fnc,fox news,fox news channel,fox news media,fox news network,fox news ingraham angle,ingraham,ingraham angle,ingraham angle monologue,ingraham angle tonight,ingraham tonight,laura ingraham,laura ingraham angle,laura ingraham monologue,the ingraham angle",PT5M52S,hd,True,https://i.ytimg.com/vi/ACLU0OxWisE/default.jpg,https://www.youtube.com/watch?v=ACLU0OxWisE
jXHikITwlng,UCXIJgqnII2ZOINSWNOGFThA,bill gates on his  virus warning efforts to fight coronavirus pandemic,Fox News,News & Politics,none,887589,8225,0,12385,2020-04-05T18:50:02Z,"Fox News Channel,Fox News,News,fox news sunday,health,tech,Fox News Sunday,Chris Wallce,Bill Gates,Bill and Melinda Gates,Coronavirus,wuhan coronavirus,wuhan china,Coronavirus treatment,Coronavirus china,coronavirus bill,public health,public health crisis,covid 19,coronavirus cases,us health,global health,coronavirus pandemic,China,Chinese government,coronavirus quarantine,virus,social distancing,white house,coronavirus relief bill",PT12M29S,hd,True,https://i.ytimg.com/vi/jXHikITwlng/default.jpg,https://www.youtube.com/watch?v=jXHikITwlng
eT47ulzfOMo,UCXIJgqnII2ZOINSWNOGFThA,sources coronavirus pandemic may have started in chinese laboratory,Fox News,News & Politics,none,1060660,9033,0,4895,2020-04-15T23:40:08Z,"wuhan lab incident,wuhan lab,patient zero,wuhan patient zero,china laboratory,china laboratory incident,chinese laboratory inceident,chinese laboratory,coronavirus outbreak,wuhan coronavirus,novel coronavirus,wuhan virus,fnc,fox news,fox news channel,fox news media,fox news network,John Roberts,Bret Baier,Bret Baier Special Report,Special Report Bret Baier,coronavirus,coronavirus pandemic,coronavirus updates,pandemic,COVID-19",PT3M11S,hd,True,https://i.ytimg.com/vi/eT47ulzfOMo/default.jpg,https://www.youtube.com/watch?v=eT47ulzfOMo
DZLQRA5XwPY,UCXIJgqnII2ZOINSWNOGFThA,gun sales skyrocket during coronavirus pandemic,Fox News,News & Politics,none,119329,2224,0,1199,2020-03-18T23:10:00Z,"Gun sales,coronavirus,coronavirus gun sales,gun sale spikes,ammunition sales,coronavirus ammunition sales,coronavirus gun sale spike,safe gun rights,second ammendment,ammunition shortage,William La Jeunesse,fox news coronavirus,fox news coronavirus coverage,looting,marshal law,fnc,fox news,fox news channel,fox news media,fox news network,coronavirus guns,coronavirus outbreak,coronavirus news,pandemic,pandemic fear,coronavirus fear",PT2M3S,hd,True,https://i.ytimg.com/vi/DZLQRA5XwPY/default.jpg,https://www.youtube.com/watch?v=DZLQRA5XwPY
VdK77bhAwO0,UCXIJgqnII2ZOINSWNOGFThA,tucker experts cant predict when coronavirus pandemic will end,Fox News,News & Politics,none,647986,14542,0,5978,2020-04-08T00:54:31Z,"coronavirus models,modeling coronavirus,economic shutdown,dr. fauci economy,tucker on fauci,tucker on coronavirus,coronavirus data,coronavirus china,chinese coronavirus data,coronavirus peak,fnc,fox news,fox news channel,fox news media,fox news network,carlson,tucker,tucker carlson,tucker carlson monologue,tucker carlson monologue tonight,tucker monologue,tucker reacts,tucker tonight,coronavirus,coronavirus outbreak,coronavirus pandemic,covid-19",PT12M14S,hd,True,https://i.ytimg.com/vi/VdK77bhAwO0/default.jpg,https://www.youtube.com/watch?v=VdK77bhAwO0
lJcjFGt9eQM,UCXIJgqnII2ZOINSWNOGFThA,coronavirus pandemic questions answered  part ,Fox News,News & Politics,none,185740,2440,0,935,2020-03-16T18:00:09Z,"Fox News Channel,Fox news,News,FNC,outnumbered overtime,harris faulkner,harris faulkner fox news,dr siegel,coronavirus,coronavirus questions,self quarantine,coronavirus news,coronavirus updates,trump,donald trump,president trump,trump coronavirus,trump coronavirus task force,coronavirus task force,health,health crisis,public health crisis,us public health crisis,fox news coronavirus,how to avoid coronavirus,corona virus,response to coronavirus",PT9M49S,hd,True,https://i.ytimg.com/vi/lJcjFGt9eQM/default.jpg,https://www.youtube.com/watch?v=lJcjFGt9eQM
gkR0jipzPRA,UCXIJgqnII2ZOINSWNOGFThA,how to prevent the spread of coronavirus,Fox News,News & Politics,none,29344,489,0,259,2020-03-18T19:15:01Z,"Fox News Channel,FNC,Fox News,News,Latest News,Top stories,Coronavirus,wuhan coronavirus,wuhan china,Coronavirus treatment,Coronavirus china,coronavirus bill,public health,public health crisis,covid 19,coronavirus cases,us health,global health,coronavirus pandemic,China,Chinese government,coronavirus quarantine,virus,viral disease,diseases,social distancing,white house,coronavirus tips,coronavirus prevention",PT31S,hd,False,https://i.ytimg.com/vi/gkR0jipzPRA/default.jpg,https://www.youtube.com/watch?v=gkR0jipzPRA
6G_-qe0iMBs,UCXIJgqnII2ZOINSWNOGFThA,coronavirus pandemic questions answered  part ,Fox News,News & Politics,none,41431,398,0,170,2020-03-16T18:24:00Z,"Fox News Channel,Fox News,News,FNC,harris faulkner,harris faulkner fox news,outnumbered overtime,coronavirus,corona virus,us coronavirus,coronavirus outbreak,coronavirus pandemic,coronavirus in the us,trump,trump coronavirus,trump coronavirus task force,coronavirus task force,coronavirus response,us coronavirus response,coronavirus news,coronavirus updates,pandemic",PT4M21S,hd,True,https://i.ytimg.com/vi/6G_-qe0iMBs/default.jpg,https://www.youtube.com/watch?v=6G_-qe0iMBs
IrSmQ69Zwo8,UCXIJgqnII2ZOINSWNOGFThA,dr scott atlas resigns as special adviser to trump on coronavirus,Fox News,News & Politics,none,321058,1815,0,1729,2020-12-01T00:22:04Z,"Dr. Scott Atlas,fox news Dr. Scott Atlas,Dr. Scott Atlas resigns,scott atlas resigns,fox news scott atlas resignation,breaking news,fox news breaking news,breaking news scott atlas,atlas,fox news atlas,martha maccallum,fox news martha macallum,scott atlas covid-19 advisor,atlas covid-19,fox news scott atlas covid-19,fnc,fox news,fox news channel,fox news media,fox news network,trump adivser resigns,breaking news trump",PT43S,hd,True,https://i.ytimg.com/vi/IrSmQ69Zwo8/default.jpg,https://www.youtube.com/watch?v=IrSmQ69Zwo8
-r_C-QsWEak,UCXIJgqnII2ZOINSWNOGFThA,fauci redfield testify before house on coronavirus crisis,Fox News,News & Politics,none,165314,1329,0,611,2020-07-31T17:40:32Z,"Fox News,Fox News Channel,Fox News Channel Live,Fox News Live,House eharing,fox news house hearing,fox news house coronavirus hearing,dr. fauci live,fauci testify,anthony fauci,dr. anthony fauci,fox news fauci testify live,robert redfield,fox news robert redfield live,House Select Subcommittee on the Coronavirus Crisis,live,live stream,fox news house democrats,fox news house republicans",PT3H47M54S,hd,True,https://i.ytimg.com/vi/-r_C-QsWEak/default.jpg,https://www.youtube.com/watch?v=-r_C-QsWEak
zwX5z_BvaN4,UCXIJgqnII2ZOINSWNOGFThA,coronavirus pandemic questions answered  part ,Fox News,News & Politics,none,43169,636,0,179,2020-03-16T18:12:18Z,"Fox News Channel,Fox News,News,FNC,outnumbered overtime,harris faulkner,harris faulkner fox news,harris faulkner outnumbered overtime,dr siegel,mark seigel,dr mark seigel fox news,coronavirus,corona virus,us coronavirus,coronavirus outbreak,coronavirus pandemic,coronavirus in the us,trump,trump coronavirus,trump coronavirus task force,coronavirus task force,coronavirus response,us coronavirus response,coronavirus news,coronavirus updates",PT7M33S,hd,True,https://i.ytimg.com/vi/zwX5z_BvaN4/default.jpg,https://www.youtube.com/watch?v=zwX5z_BvaN4
Oei9_SRfaSw,UCXIJgqnII2ZOINSWNOGFThA,secretary ben carson on efforts to slow the coronavirus pandemic,Fox News,News & Politics,none,174420,2959,0,1060,2020-03-22T01:26:44Z,"politics,Fox News Channel,Fox News,HUD Secretary,Ben Carson,Trump administration,Coronavirus,wuhan coronavirus,wuhan china,Coronavirus treatment,Coronavirus china,coronavirus bill,public health,public health crisis,covid 19,coronavirus cases,us health,global health,coronavirus pandemic,China,Chinese government,coronavirus quarantine,virus,viral disease,diseases,social distancing,white house,coronavirus relief bill",PT5M33S,hd,True,https://i.ytimg.com/vi/Oei9_SRfaSw/default.jpg,https://www.youtube.com/watch?v=Oei9_SRfaSw
ebtpY4jZ9ds,UCXIJgqnII2ZOINSWNOGFThA,new study details lifespan of coronavirus in air on surfaces,Fox News,News & Politics,none,90748,1321,0,339,2020-03-19T16:08:27Z,"Fox News Channel,Fox News,News,health,Coronavirus,wuhan coronavirus,wuhan china,Coronavirus treatment,Coronavirus china,coronavirus bill,public health,public health crisis,covid 19,coronavirus cases,us health,global health,coronavirus pandemic,China,Chinese government,coronavirus quarantine,virus,viral disease,diseases,white house,coronavirus relief bill,social distancing",PT2M,hd,True,https://i.ytimg.com/vi/ebtpY4jZ9ds/default.jpg,https://www.youtube.com/watch?v=ebtpY4jZ9ds
H9N9M9IjXD0,UCXIJgqnII2ZOINSWNOGFThA,klobucher reacts to trumps handling of the coronavirus pandemic,Fox News,News & Politics,none,159453,1015,0,4341,2020-10-04T20:00:02Z,"Fox News Channel,Fox News,News,health,politics,Fox News Sunday,Amy Klobuchar,Chris Wallace,Coronavirus,Coronavirus treatment,coronavirus bill,public health,public health crisis,covid 19,coronavirus cases,us health,global health,coronavirus pandemic,coronavirus quarantine,social distancing,coronavirus relief bill,coronavirus peak,coronavirus vaccine,vaccines,medical supplies",PT9M45S,hd,True,https://i.ytimg.com/vi/H9N9M9IjXD0/default.jpg,https://www.youtube.com/watch?v=H9N9M9IjXD0
0pkwjVhq230,UCXIJgqnII2ZOINSWNOGFThA,coronavirus pandemic questions answered  part ,Fox News,News & Politics,none,44990,417,0,125,2020-03-16T18:18:47Z,"Fox News Channel,Fox News,News,FNC,harris faulkner,harris faulkner fox news,diamond princess,cruise ship,diamond princess passenger,diamond princess cruise ship,coronavirus,corona virus,us coronavirus,coronavirus outbreak,coronavirus pandemic,coronavirus in the us,trump,trump coronavirus,trump coronavirus task force,coronavirus task force,coronavirus response,us coronavirus response,coronavirus news,coronavirus updates,pandemic",PT4M11S,hd,True,https://i.ytimg.com/vi/0pkwjVhq230/default.jpg,https://www.youtube.com/watch?v=0pkwjVhq230
J0Kavkyn46U,UCXIJgqnII2ZOINSWNOGFThA,dr fauci testifies before senate on coronavirus response,Fox News,News & Politics,none,456960,3090,0,1909,2020-05-12T18:40:27Z,"fnc,fox news,fox news channel,fox news media,fox news network,Fox News live,Fox News senate testimony,Fox News Fauci live,Dr. Fauci,Anthony Fauci,Dr. Anthony Fauci,Fox News live fauci senate,Dr. Fauci testify,senate coronavirus hearing,coronavirus,pandemic,coronavirus outbreak,coronavirus pandemic,coronavirus presser,coronavirus updates,covid-19,fauci senate,fauci senate hearing,fauci testimony",PT3H32M41S,hd,False,https://i.ytimg.com/vi/J0Kavkyn46U/default.jpg,https://www.youtube.com/watch?v=J0Kavkyn46U
zvPsXsF4GEE,UCXIJgqnII2ZOINSWNOGFThA,mask mandate debate renewed as coronavirus delta variant spreads,Fox News,News & Politics,none,33310,460,0,1131,2021-07-23T08:00:30Z,"coronavirus,coronavirus pandemic,coronavirus masking,mask mandate,coronavirus pandemic mask mandate,bret baier,special report,bret baier special report,ben domenech,steve hayes,juan williams,juan williams fox news,Biden mask mandate,Biden coronavirus,White House mask mandate,White House coronavirus,masking,coronavirus fox news,jen psaki,covid-19,covid-19 pandemic,fox news covid-19",PT9M9S,hd,True,https://i.ytimg.com/vi/zvPsXsF4GEE/default.jpg,https://www.youtube.com/watch?v=zvPsXsF4GEE
ob5_NvJz1io,UCXIJgqnII2ZOINSWNOGFThA,trump to declare national emergency amid coronavirus pandemic,Fox News,News & Politics,none,796548,7087,0,3535,2020-03-13T16:21:58Z,"Trump,President Trump,Donald Trump,Potus,President,White House,White House news,Trump news,us news,breaking news,donald trump,coronavirus update,fox news,fox news channel,coronavirus news,trump coronavirus,corona virus,trump on coronavirus,president trump coronavirus,trump coronavirus speech,covid-19 containment,coronavirus latest news,white house today,john roberts,harris faulkner,fox,news,outnumbered,trump news,trump today",PT3M19S,hd,True,https://i.ytimg.com/vi/ob5_NvJz1io/default.jpg,https://www.youtube.com/watch?v=ob5_NvJz1io
EZ2TPymcdL4,UCXIJgqnII2ZOINSWNOGFThA,trump says us is on wartime footing in battle against coronavirus pandemic,Fox News,News & Politics,none,212800,2488,0,1509,2020-03-18T22:29:03Z,"President Trump,Donald Trump,Donald Trump coronavirus,coronavirus outbreak,coronavirus,coronavirus pandemic,trump press conference,coronavirus task force,trump coronavirus task force,mike pence,vice president mike pence,pence,trump,john roberts,fnc,fox news,fox news channel,fox news media,fox news network,coronavirus update,pandemic,public health,trump coronavirus,coronavirus us,us coronavirus,stock market news,covid-19 us",PT3M37S,hd,True,https://i.ytimg.com/vi/EZ2TPymcdL4/default.jpg,https://www.youtube.com/watch?v=EZ2TPymcdL4
sPrbGU0Wyh4,UCXIJgqnII2ZOINSWNOGFThA,tucker big tech censors dissent over coronavirus lockdowns,Fox News,News & Politics,none,6920336,143279,0,24727,2020-04-29T00:51:40Z,"Dave Rubin,Don't Burn this book,Dave Rubin book,dave rubin tucker carlson,california doctors,big tech censors,youtube removes video,youtube removes doctor video,dan erickson,dan erickson video,american college of emergency physicians,doctors video removed from youtube,acep aaerm joint statement,youtube takes down doctors video,tucker,tucker carlson,tucker carlson tonight,tucker monologue,tucker monologue tonight,tucker tonight,Fox news,fox news channel",PT14M57S,hd,True,https://i.ytimg.com/vi/sPrbGU0Wyh4/default.jpg,https://www.youtube.com/watch?v=sPrbGU0Wyh4
wqX2PuPTOhM,UCXIJgqnII2ZOINSWNOGFThA,house passes b coronavirus package,Fox News,News & Politics,none,135518,1642,0,335,2020-12-22T02:47:48Z,"Fox News Channel,FNC,Fox News,fox news house,house of reps,house passes covid-19 package,house passes coronavirus package,coronavirus package,900B covid package,fox news breaking news,breaking news",PT5H8M41S,hd,False,https://i.ytimg.com/vi/wqX2PuPTOhM/default.jpg,https://www.youtube.com/watch?v=wqX2PuPTOhM
EE1iX5HKELA,UCXIJgqnII2ZOINSWNOGFThA,nunes on chinas efforts to shift the narrative on coronavirus pandemic,Fox News,News & Politics,none,280238,3223,0,1921,2020-03-19T03:51:18Z,"politics,fox news @ night,Fox News Channel,Coronavirus,wuhan coronavirus,wuhan china,Coronavirus treatment,Coronavirus china,white house",PT7M35S,hd,True,https://i.ytimg.com/vi/EE1iX5HKELA/default.jpg,https://www.youtube.com/watch?v=EE1iX5HKELA
xhpqX1NbusQ,UCXIJgqnII2ZOINSWNOGFThA,coronavirus pandemic questions answered  part ,Fox News,News & Politics,none,39505,500,0,284,2020-03-16T18:25:52Z,"Fox News Channel,Fox News,News,FNC,harris faulkner,harris faulkner fox news,outnumbered overtime,coronavirus,corona virus,us coronavirus,coronavirus outbreak,coronavirus pandemic,coronavirus in the us,trump,trump coronavirus,trump coronavirus task force,coronavirus task force,coronavirus response,us coronavirus response,coronavirus news,coronavirus updates,pandemic",PT5M50S,hd,True,https://i.ytimg.com/vi/xhpqX1NbusQ/default.jpg,https://www.youtube.com/watch?v=xhpqX1NbusQ
hIpCSt6NUJg,UCXIJgqnII2ZOINSWNOGFThA,ingraham what we still dont know about coronavirus pandemic,Fox News,News & Politics,none,289235,6378,0,1940,2020-03-18T03:40:19Z,"Fox News Channel,Fox News,News,opinion,the ingraham angle,ingraham angle,laura ingraham,ingraham,ingraham monologue,laura ingraham monologue,laura ingraham angle,ingraham the angle,china,china virus,wuhan,wuhan virus,coronavirus,fox news coronavirus,coronavirus pandemic,pandemic,covid-19,covid 19,coronavirus in the us,us coronavirus,coronavirus facts,covid-19 facts,coronavirus testing,coronavirus outbreak,corona virus,coronavirus response",PT8M9S,hd,True,https://i.ytimg.com/vi/hIpCSt6NUJg/default.jpg,https://www.youtube.com/watch?v=hIpCSt6NUJg
aSBWlKC7reM,UCXIJgqnII2ZOINSWNOGFThA,hhs sec azar provides an update on the coronavirus outbreak,Fox News,News & Politics,none,84303,1316,0,826,2020-03-09T15:38:11Z,"america's newsroom,health,health news,covid,covid 19,covid19,corona,coronavirus,coronavirus update",PT10M,hd,True,https://i.ytimg.com/vi/aSBWlKC7reM/default.jpg,https://www.youtube.com/watch?v=aSBWlKC7reM
G6HbxcCb-7g,UCXIJgqnII2ZOINSWNOGFThA,trump declares national emergency over coronavirus,Fox News,News & Politics,none,1870119,21330,0,4672,2020-03-13T20:56:58Z,"Trump,President Trump,Donald Trump,Potus,President,White House,White House news,Trump news,Fox news live,fox news live stream,live stream,fox live,Live updates,live video,Live news,fox live stream,trump remarks,trump remarks live,trump speech,Trump speech live,trump live,trump news,trump today,White House Live,White House Today,White House News,trump press conference,trump news conference,coronavirus,trump coronavirus,bolsonaro",PT1H12M37S,hd,False,https://i.ytimg.com/vi/G6HbxcCb-7g/default.jpg,https://www.youtube.com/watch?v=G6HbxcCb-7g
zFWn5IVLYQk,UCXIJgqnII2ZOINSWNOGFThA,media condemns label chinese coronavirus after using it themselves,Fox News,News & Politics,none,277363,4826,0,2172,2020-03-14T03:36:40Z,"coronavirus,coronavirus media spin,coronavirus news,coronavirus outbreak,coronavirus china,china news,china coronavirus,coronavirus spread,racism,testing kits,docotr,world health organization,WHO,center for disease control,CDC,shannon bream,shannon bream fox news at night,fox news at night,fnc,fox news,fox news channel,fox news media,fox news network,jim acosta chinese coronavirus,chris cuomo chinese coornavirus,jim acosta",PT5M21S,hd,True,https://i.ytimg.com/vi/zFWn5IVLYQk/default.jpg,https://www.youtube.com/watch?v=zFWn5IVLYQk
_FUiPbzoGSQ,UCXIJgqnII2ZOINSWNOGFThA,ben carson on coronavirus pandemic we cant operate out of hysteria,Fox News,News & Politics,none,247386,5016,0,1528,2020-04-10T00:14:46Z,"health,ben carson,ben carson HUD,carson,Ben Carson fox news,HUD secretary,ben carsn coronavirus,coronavirus economy,american economy,americans woried about economy,health disparities,minority health disparities,coronavirus models,the story,the story martha maccallum,martha maccallum,maccallum,ben carson maccallum,coronavirus,coronavirus outbreak,coronavirus pandemic,covid-19,fox news,fox news channel,fox news media,fox news network,covid-19 pandemic",PT6M36S,hd,True,https://i.ytimg.com/vi/_FUiPbzoGSQ/default.jpg,https://www.youtube.com/watch?v=_FUiPbzoGSQ
IwpM0n8Hspg,UCXIJgqnII2ZOINSWNOGFThA,biden to discuss developing a coronavirus vaccine,Fox News,News & Politics,none,92749,646,0,3318,2020-09-16T20:26:27Z,"Fox News Channel,Fox News,News,FNC,live,live stream,livestream,fox news live,fox news live stream,fox live,fox live stream,biden,joe biden,biden 2020,joe biden 2020,biden campaign,harris,kamala harris,joe biden kamala harris,biden harris,biden harris 2020,biden kamala harris,election,2020 election,presidential election,election news",PT26M28S,hd,False,https://i.ytimg.com/vi/IwpM0n8Hspg/default.jpg,https://www.youtube.com/watch?v=IwpM0n8Hspg
rLezK6SQNNk,UCXIJgqnII2ZOINSWNOGFThA,ingraham persistence not politics during the coronavirus crisis,Fox News,News & Politics,none,149107,2986,0,656,2020-03-20T03:30:05Z,"coronavirus,coronavirus outbreak,covid-19,anthony fauci,fox news,fox news channel,fox news media,fox news network,fox news ingraham angle,ingraham,ingraham angle,ingraham angle monologue,ingraham angle tonight,ingraham tonight,laura ingraham,laura ingraham angle,laura ingraham monologue,laura ingraham tonight,thats the angle,the angle,the ingraham angle,trump coronavirus,hydroxychloroquine,chloroquine,hydroxychloroquine coronavirus,coronavirus pandemic",PT6M7S,hd,True,https://i.ytimg.com/vi/rLezK6SQNNk/default.jpg,https://www.youtube.com/watch?v=rLezK6SQNNk
9LBUutWsfBc,UCXIJgqnII2ZOINSWNOGFThA,traveling amid the coronavirus outbreak what you need to know,Fox News,News & Politics,none,16968,224,0,127,2020-03-09T17:58:00Z,"health,coronavirus,virus,coronavirus update,travel,travel info,travel during coronavirus,fox news,fox news channel,travelling,fox,news",PT2M14S,hd,False,https://i.ytimg.com/vi/9LBUutWsfBc/default.jpg,https://www.youtube.com/watch?v=9LBUutWsfBc
qLy8ISicMDI,UCXIJgqnII2ZOINSWNOGFThA,navy captain fired for flagging coronavirus outbreak on ship,Fox News,News & Politics,none,591892,5867,0,5172,2020-04-03T15:39:26Z,"Fox News Channel,Fox News,News,politics,breaking news,coronavirus,coronavirus cases,navy,us navy,military,us military,military coronavirus,navy captain,jennifer griffin,covid-19,covid 19,navy coronavirus,navy ship coronavirus,military coronavirus cases,us armed forces,coronavirus news,latest coronavirus,coronavirus updates,USS Theodore Roosevelt,thomas modly,pentagon,coronavirus outbreak,covid-19 updates,coronavirus latest news",PT2M38S,hd,True,https://i.ytimg.com/vi/qLy8ISicMDI/default.jpg,https://www.youtube.com/watch?v=qLy8ISicMDI
DbiCwYhZnGo,UCXIJgqnII2ZOINSWNOGFThA,tucker carlson tonight tries new rapid coronavirus test on air,Fox News,News & Politics,none,359605,8322,0,1728,2020-04-14T01:35:00Z,"tucker carlson coronavirus,smokers and coronavirus,tucker carlson marc siegel,abbott testing,rapid coronavirus testing,coronavirus testing,tucker carlson tonight coronavirus test,tucker carlson tonight rapid test,marc siegel,dr. marc seigel,marc siegel coronavirus tests,coronavirus outbreak,coronavirus update,abbott coronavirus testing,fnc,fox news,fox news channel,fox news media,fox news network,tucker,tucker carlson,tucker carlson tonight,tucker reacts",PT6M15S,hd,True,https://i.ytimg.com/vi/DbiCwYhZnGo/default.jpg,https://www.youtube.com/watch?v=DbiCwYhZnGo
-uc_ZdJ-kAo,UCXIJgqnII2ZOINSWNOGFThA,trump receives a coronavirus briefing from officials at the cdc,Fox News,News & Politics,none,164262,3319,0,493,2020-03-06T22:39:06Z,"Trump,President Trump,Donald Trump,Potus,President,White House,White House news,Trump news,trump remarks,trump remarks live,trump speech,Trump speech live,trump live,trump news,trump today,White House Live,White House Today,White House News,Fox news live,fox news live stream,live stream,fox live,Live updates,live video,Live news,fox live stream,trump coronavirus address,trump coronavirus live stream,trump coronavirus news conference",PT47M46S,hd,False,https://i.ytimg.com/vi/-uc_ZdJ-kAo/default.jpg,https://www.youtube.com/watch?v=-uc_ZdJ-kAo
EbyPW8lJX2E,UCXIJgqnII2ZOINSWNOGFThA,tucker we must remain calm but not complacent about the coronavirus,Fox News,News & Politics,none,565350,13175,0,3374,2020-03-10T00:47:09Z,"Tucker,Tucker Carlson,Tucker Carlson Tonight,Tucker Tonight,Tucker Carlson Monologue,Tucker Monlogue,Tucker carlson reacts to coronavirus,Tucker Carlson Monologue tonight,Tucker Monologue Tonight,coronavirus,China impact on drugs,chinese medication,chinese drugs,china manufacturing,fnc,fox news channel,fox news media,fox news network,coronavirus outbreak,world health organization,medication manufactured in china,medications made in china,made in china",PT7M10S,hd,True,https://i.ytimg.com/vi/EbyPW8lJX2E/default.jpg,https://www.youtube.com/watch?v=EbyPW8lJX2E
bf4WRdPnf4I,UCXIJgqnII2ZOINSWNOGFThA,gym owners reflect on coronavirus pandemic one year later,Fox News,News & Politics,none,9149,286,0,135,2021-03-16T11:15:03Z,"coronavirus,coronavirus pandemic,COVID-19,small businesses,small business,gym,business owners,US,United States,business,fox news channel,fox news,FNC,fox and friends first",PT5M18S,hd,True,https://i.ytimg.com/vi/bf4WRdPnf4I/default.jpg,https://www.youtube.com/watch?v=bf4WRdPnf4I
B6MURuLUetE,UCXIJgqnII2ZOINSWNOGFThA,mnuchin on toll coronavirus pandemic is taking on us economy,Fox News,News & Politics,none,224964,2274,0,1919,2020-05-10T18:22:33Z,"Fox News Channel,Fox News,News,fox news sunday,politics,coronavirus,Donald Trump,small business aid program,small businesses,stay at home protests,Nancy Pelosi,Small business relief,Social distancing,Covid19,pay protection program,PPP,Stimulus check,reopening economy,Treasury Department,Steve Mnuchin,Trump economic task force,economic task force,us economy,coronavirus economy,state orders,state restrictions,government orders,stay at home orders",PT11M27S,hd,True,https://i.ytimg.com/vi/B6MURuLUetE/default.jpg,https://www.youtube.com/watch?v=B6MURuLUetE
vX2KxYmJfjE,UCXIJgqnII2ZOINSWNOGFThA,trump coronavirus task force hold white house press briefing  ,Fox News,News & Politics,none,808755,7973,0,1367,2020-04-21T23:10:35Z,"Fox News Channel,News,Fox News,President Trump,Coronavirus,COVID-19,Coronavirus Task Force,Live updates,Coronavirus news,white house,live stream,trump briefing,coronavirus pandemic,live video,president trump,task force,trump coronavirus briefing,covid-19 news,coronavirus latest news,trump live,trump coronavirus task force,trump live remarks,fox news channel,coronavirus response,covid-19 updates,trump fox news live,coronavirus updates",PT1H9M39S,hd,False,https://i.ytimg.com/vi/vX2KxYmJfjE/default.jpg,https://www.youtube.com/watch?v=vX2KxYmJfjE
